id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
b72c9d20-5b2a-4353-ab60-fa1a899fde6b,Symptomatic treatment is not required in withdrawal of:,Cannabis,Morphine,Alcohol,Cocaine,0,single,"Since cannabis causes very mild withdrawal symptoms hence, no symptomatic treatment is required. LSD and other hallucinations also do not cause any withdrawal symptoms .",Psychiatry,Substance Related and Addictive Disorders
4eafd9d8-b2ea-4f44-ac7f-a12103f61945,"In Profound MR, IQ is",50-69,35-49,20-34,< 20,3,single,IQ range for categoriesICD-10DSM-IVMild50-6950-55 to 70Moderate35-4935-40 to 50-55Severe20-3420-25 to 35-40ProfoundBelow 20Below 20-25Reference: Oxford Textbook of Psychiatry; 3rd edition; Chapter 18; Learning Disability,Psychiatry,Child psychiatry
efdbc8fc-57c6-4154-b35f-0907d23ad414,Least commonly seen in conduct disorder seen in girls:-,Run away from home,High risk sexual behavior,Physical aggression,Emotional bullying,2,single,"Conduct disorder - Persistent pattern of antisocial behavior in which the individual repeatedly breaks social rules and carries out aggressive acts.in conduct disorder they do it deliberately usually characterized by aggression and violation of the rights of others boys with conduct disorder show physical & relationship aggression but In girls relationship aggression is more predominant than physical aggression children with conduct disorder usually have behaviors characterized by aggression to persons or animals, destruction of propey, deceitfulness or theft, and multiple violations of rules, such as truancy from school.",Psychiatry,JIPMER 2018
ccd164d1-984c-4b6f-a02e-fac406b5a4be,Antidepressant drug used in nocturnal enuresis is:,Imipramine,Fluoxetine,Trazodone,Seraline,0,single,Sleep related enuresis- Treatment Bed alarms (behavioral therapy)- TOC Desmopressin (DOC) Imipramine (TCA Antidepressant),Psychiatry,Sleep Disorders
b04ed4e3-15a4-452d-b6fb-7d0849520507,Reversible cause of dementia is -,Alzheimer's disease,Parkinsonism,Hypothyroidism,Vascular dementia,2,single,"Ans. is 'c' i.e., Hypothyroidism Causes of dementiaReversible causesSurgically treatableMedically treatableo Normal pressure hydrocephaluso Brain tumors (frontal lobe tumor)o Meningiomao Subdural hematoma (Head injury)o Hydrocephaluso Hypothyroidismo Depressiono HIV infectiono Alcohol abuseo Vitamin B12, Folate, Niacin deficiencyo Any metabolic or endocrine disturbanceo Neurosyphiliso Hashimoto's encephalopathy o Wilson's diseaseo Celiac disease or Whipple's diseaseo Chronic meningoencephalitiso Drugs and toxin (toxic dementia)Irreversible causeso Alzheimer's diseaseo Huntington's choreao Lewy body dementiao Vascular (Multi-infarct) dementiao Parkinson's diseaseo Creutzfeld Jakob diseaseo Pick's diseaseo Overall Alzheimer's disease is the most common cause. Vascular dementia is the 2nd most common cause.",Psychiatry,Dementia Due to Metabolic Causes
c2831b92-d8ad-4873-a0ea-17f2078f9d75,Treatment of Choice in Sleep Apnea Syndrome:,Continuous positive pressure ventilation.,Sedatives.,Antidepressants.,Antiepileptics,0,single,"(A) Continuous positive pressure ventilation# Sleep apnea: Sleep apnea is a sleep disorder characterized by pauses in breathing during sleep. Each episode, called an apnea, lasts long enough so that one or more breaths are missed, and such episodes occur repeatedly throughout sleep.> The standard definition of any apneic event includes a minimum 10 second interval between breaths, with either a neurological arousal (a 3-second or greater shift in EEG frequency, measured at C3, C4, O1, or O2), a blood oxygen desaturation of 3-4deg/: or greater, or both arousal and desaturation. Sleep apnea is diagnosed with an overnight sleep test called a polysomnogram, or a ""Sleep Study"".> Treatment: The most common treatment and arguably the most consistently effective treatment for sleep apnea is the use of a continuous positive airway pressure (CPAP) device, which 'splints' the patient's airway open during sleep by means of a flow of pressurized air into the throat. However the CPAP machine only assists inhaling whereas a BiPAP machine assists with both inhaling and exhaling, and is used in more severe cases. Medications like Acetazolamide lower blood pH and encourage respiration. Low doses of oxygen are also used as a treatment for hypoxia but are discouraged due to side effects.",Psychiatry,Miscellaneous
8dc0e2f2-b982-457b-a5eb-512c51653fb5,A victim of Tsunami has difficulty in overcoming the experience. She still recollects the happening in dreams and thoughts. The most likely diagnosis is,Post traumatic stress disorder,Conversion disorder,Panic disorder,Phobia,0,single,"PTSD is characterised by recurrent and intrusive recollections of the stressful event, either in flashbacks (images, thoughts, or perceptions) and/or in dreams. There is an associated sense of re-experiencing of the stressful event. There is marked avoidance of the events or situations that arouse recollections of the stressful event, along with marked symptoms of anxiety and increased arousal. The other impoant clinical features of PTSD include paial amnesia for some aspects of the stressful event, feeling of numbness, and anhedonia (inability to experience pleasure). Ref: A Sho Textbook of Psychiatry, Niraj Ahuja, 7th Edition, pg. no. 112",Psychiatry,Anxiety disorders stress disorders and grief
80dc11de-9ef9-4971-b7d2-a32de25dd7b0,Alcohol dependence is seen which of the following phase,Oral,Phallic,Anal,Latency,0,multi,Ans. is 'a' i.e. Oral PhasePsychiatric disorders resulting from fixation of regression to this phase* Oral phase (Birth 1 Vx year)* Alcohol dependence or drug dependence* Severe mood disorder* Dependent personality traits and disorders* Schizophrenia* Ana! phase* Obsessive compulsive traits* Obsessive compulsive disorder* Phallic (oedipal) Phase (3-5 years)* Oedipus complex is the primary cause of hysteria and other neurotic symptoms* Latency phase (5-12 years)* Neurotic disorders* Genital phase (12 years onward)* Neurotic disorders,Psychiatry,Substance Abuse
e11268cf-9f08-491b-8937-3875cbd26f46,"Arrange the following subtypes of schizophrenia, in order of prognosis, with the best prognosis first and the worst prognosis last, 1. Paranoid schizophrenia2. Catatonic schizophrenia3. Simple schizophrenia4. Disorganised schizophrenia",4-2-1-3,2-1-3-4,2-1-4-3,1-2-4-3,2,single,"The correct sequence is Catatonic schizophrenia followed by Paranoid schizophrenia followed by Disorganised schizophrenia followed by Simple Schizophrenia Please remember in both DSM-5 and ICD-11, these subtypes have been removed",Psychiatry,Schizophrenia Spectrum and Other Psychotic Disorders
33073045-5925-4618-8c87-44951c55fd12,Which category of ICD is associated with schizophrenia,F0,F1,F2,F3,2,single,"ICD ICD mentions International classification of mental and behavioural disorders this was given by WHO( World health Organisation) ICD is used all over the world except America latest edition of ICD is ICD11 ICD 11 was released in 2018 DSM DSM mentions Diagnostic and Statistical manual of mental disorders this was given by APA( American Psychiatric Assosiation) DSM is used in America latest edition of DSM is DSM 5 ICD 11 was released in 2018 categorisation ofmental disorders in ICD 10 is mentioned below F00-F09 Organic, including symptomatic, mental disorders F10-F19 Mental and behavioural disorders due to psychoactive substance use F20-F29 Schizophrenia, schizotypal and delusional disorders F30-F39 Mood disorders ICD-10 Classification of Mental and Behavioural Disorders, World Health Organization, Geneva, 1992",Psychiatry,Symptoms and signs in psychiatry and classification
